Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/arendsee/,5.0,km²,50.0,,,,52.9314,11.4845
https://www.wassertemperatur.org/attersee/,46.0,km²,169.0,85.0,19.0,3.3,47.8684,13.5406
https://www.wassertemperatur.org/deutschland/bayern/attlesee/,10.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/auensee/,18.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/ausee/,23.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/autobahnsee/,17.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/badsee/,42.5,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/baldeggersee/,5.3,km²,,,,,47.1854,8.2512
https://www.wassertemperatur.org/deutschland/bayern/bannwaldsee/,2.28,km²,,,,,,
https://www.wassertemperatur.org/deutschland/sachsen-anhalt/barleber-see/,104.8,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/barmsee/,55.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/bielersee/,40.0,km²,,,,,47.1161,7.2511
https://www.wassertemperatur.org/deutschland/hessen/aartalsee/,93.5,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/aasee/,0.4,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/abtsdorfer-see/,84.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/afritzer-see/,488.0,ha,22.5,14.2,1.7,0.34,,
https://www.wassertemperatur.org/oesterreich/aichwaldsee/,4.5,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/alberssee/,23.0,ha,8.0,,,,,
https://www.wassertemperatur.org/seen/schweiz/alpnachersee/,4.47,km²,,,,,46.9586,8.275
https://www.wassertemperatur.org/altmuehlsee/,4.5,km²,,,,,,
https://www.wassertemperatur.org/ammersee/,47.0,km²,,,,,47.9994,11.1008
https://www.wassertemperatur.org/deutschland/nrw/biggesee/,8.76,km²,52.0,,,,,
https://www.wassertemperatur.org/deutschland/bayern/blaibacher-see/,47.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/bleibtreusee/,74.2,ha,,,,,,
https://www.wassertemperatur.org/bodensee/,536.0,km²,254.0,,,,47.65,9.4833
https://www.wassertemperatur.org/bolsenasee/,114.0,km²,,,,,,
https://www.wassertemperatur.org/braccianosee/,57.5,km²,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/breitenauer-see/,40.0,ha,13.0,,,,,
https://www.wassertemperatur.org/oesterreich/brennsee/,0.4,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/brienzersee/,29.8,km²,,,,,,
https://www.wassertemperatur.org/brombachsee/,870.0,ha,32.5,,5.1,2.0,49.0554,10.8897
https://www.wassertemperatur.org/seen/schweiz/burgaeschisee/,21.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/canovasee/,2.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/caumasee/,10.0,ha,30.0,,0.6,0.3,,
https://www.wassertemperatur.org/chiemsee/,80.0,km²,72.0,25.0,,,47.8747,12.45
https://www.wassertemperatur.org/comer-see/,146.0,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/davosersee/,59.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/diemelsee/,1.65,km²,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/dutenhofener-see/,36.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/duerener-badesee/,35.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/echinger-see/,13.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/echtzer-see/,16.5,ha,,,,,,
https://www.wassertemperatur.org/edersee/,,,,,,,,
https://www.wassertemperatur.org/seen/schweiz/egelsee/,3.5,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/eibsee/,1.77,km²,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/einfelder-see/,1.68,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/eixendorfer-see/,110.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/eutiner-see/,,,,,,,,
